# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro Completo Delle Modifiche
buildtoolbar_popup_obj_leatherchair	Si abbina al Divano in pelle. Perfetta per accogliere lo staff e sicuramente troppo elegante per i detenuti.

buildtoolbar_popup_obj_rorschachTest	Aggiungere un Test di Rorschach all'ufficio dello psichiatra migliorerà l'effetto della terapia sui detenuti malati di mente.
buildtoolbar_popup_obj_anatomyModel	Aggiungere un Modello anatomico all'ufficio dello psichiatra migliorerà l'effetto della terapia sui detenuti malati di mente.
buildtoolbar_popup_obj_flipboard	Aggiungere una Lavagna a fogli mobili con diagramma del cervello all'ufficio dello psichiatra migliorerà l'effetto della terapia sui detenuti malati di mente.
buildtoolbar_popup_obj_medicineCabinetPsych	Aggiungere un Armadietto delle medicine all'ufficio dello psichiatra migliorerà l'effetto della terapia sui detenuti malati di mente.
buildtoolbar_popup_obj_leatherchair	Si abbina al Divano in pelle. Perfetta per accogliere lo staff e sicuramente troppo elegante per i detenuti.
buildtoolbar_popup_obj_leatherSofa	Aggiungere un classico Divano in pelle all'ufficio dello psichiatra migliorerà l'effetto della terapia sui detenuti malati di mente.

buildtoolbar_deployment_insaneseczone	Solamente i detenuti malati di mente potranno accedere a questo settore.

failuremessage_maximumcountreachedgeneric	Massimo raggiunto

buildtoolbar_popup_locked_PsychiatricConsultation	Si sblocca tra altre *B sedute psichiatriche
buildtoobar_PsychConItemImproveInfo	- Migliora il grado di un Ufficio dello psichiatra
buildtoobar_PsychConItemImproveSuppression	- Dopo la seduta, riduce la soppressione e certe esigenze\ndi un detenuto malato di mente di +5%
buildtoobar_PsychConItemImproveGrace	- Dopo la seduta, dà a un detenuto malato di mente\nun periodo "di grazia" di 1 giorno in più prima che\nla soppressione e certe altre esigenze tornino a salire.
buildtoolbar_popup_obj_Footbridge	Consente a detenuti e personale di attraversare zone di terra e acqua. Non può essere costruita su pareti, recinti e altri edifici.
buildtoolbar_popup_obj_FootbridgeSteel	Consente a detenuti e personale di attraversare zone di terra e acqua. Non può essere costruita su pareti, recinti e altri edifici.
buildtoolbar_popup_obj_FootbridgeB	Consente a detenuti e personale di attraversare zone di terra e acqua. Non può essere costruita su pareti, recinti e altri edifici.
buildtoolbar_popup_obj_FootbridgeSteelB	Consente a detenuti e personale di attraversare zone di terra e acqua. Non può essere costruita su pareti, recinti e altri edifici.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Permette ai tuoi prigionieri di ascoltare le loro boy band preferite nel corso della giornata. Rallegra un po' i prigionieri che condividono la stessa stanza.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Cella di isolamento imbottita

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Destinato ai detenuti malati di mente, con pareti imbottite che producono un effetto calmante.
buildtoolbar_popup_room_paddedholdingcell	Accoglie i nuovi detenuti malati di mente prima che sia pronta una cella imbottita permanente.
buildtoolbar_popup_room_paddedsolitary	Una forma di carcerazione isolata per i nostri peggiori detenuti malati di mente.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Imbottita (piccola)
quickbuild_paddedintermediatecell	Imbottita (media)
quickbuild_paddedholdingcell	Cella custodia imbottita
quickbuild_paddedsolitarycell	Cella di isolamento imbottita
quickbuild_PsychiatristOffice	Ufficio dello psichiatra



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Solo malati di mente
interfacetopbar_PrisonerCells_insaneSecOnly	Capacità malati di mente: *X

roomgrading_PsychiatristOffice_info	Sblocca e colloca oggetti aggiuntivi nell'Ufficio dello psichiatra per migliorare la terapia dei detenuti malati di mente.\n
Items	si sbloccano quando i detenuti malati di mente partecipano ai corsi di Terapia psichiatrica.
roomgrading_PsychiatristOffice_Item	Oggetto: *X
roomgrading_PsychiatristOffice_Quality	Abilità dello psichiatra: *Q
roomgrading_PsychiatristOffice_Upgrade	Migliora l'Ufficio dello psichiatra per aumentare la sua abilità.

roomgrading_score_average	MEDIA
roomgrading_score_good	BUONA
roomgrading_score_verygood	OTTIMA
roomgrading_score_outstanding	ECCELLENTE

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Braccio psichiatrico
objective_grant_firstinsanecellblock_description	Il governo è disposto a fornire finanziamenti perché ampliamo la nostra prigione con i mezzi per accogliere e curare i detenuti malati di mente.\n\nQuesta sovvenzione ci aiuterà a costruire speciali celle imbottite e ad assumere esperti psichiatri.
objective_grant_firstinsanecellblock_cells	Costruisci un braccio/blocco di celle per detenuti malati di mente con 10 celle imbottite
objective_grant_firstinsanecellblock_prisoners	Accogli 10 detenuti malati di mente
objective_grant_firstinsanecellblock_psychiatrist	Assumi 2 psichiatri (ciascuno richiede un ufficio)

objective_readinsaneletter	Linee guida dell'amministratore delegato sui detenuti malati di mente
objective_readinsaneletter_description	Prima di accogliere detenuti malati di mente nella tua prigione, devi prepararla le strutture e il personale del caso, in modo da poterti prendere cura delle loro esigenze. - L'amministratore delegato

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	In qualità di ex garante per la libertà su cauzione, Hartman insegna tecniche preziose al suo personale di sicurezza.\n\n- Tutte le guardie perdono le chiavi del personale meno spesso\n- Le guardie recuperano la resistenza al momento dell'arrivo
warden_wardeninsanehawk_desc_short	- Le guardie recuperano la resistenza al momento dell'arrivo

warden_wardeninsaneslugworth_name	Dott. Slugworth
warden_wardeninsaneslugworth_desc	Quando tutte le altre prigioni li rifiutano, Slugworth apre le porte ai peggiori detenuti malati di mente, convinto di poterli aiutare.\n\n- I trattamenti psichiatrici sono più efficaci del 20%\n - Le chance di ricevere detenuti malati di mente psicopatici sono più alte!
warden_wardeninsaneslugworth_desc_short	- Accetta più detenuti malati di mente psicopatici. Gli psichiatri forniscono un trattamento migliore.

warden_wardeninsanehudson_name	Dott. Hudson
warden_wardeninsanehudson_desc	Il dottor Hudson è pronto a fare ciò che nessun altro direttore potrebbe...\n\n - I servizi di emergenza funzionano più velocemente del 20% e arrivano prima\n - I costi per le riparazioni sono ridotti del 10%
warden_wardeninsanehudson_desc_short	- Tempi di risposta più rapidi e costi di riparazione ridotti.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Detenuti malati di mente morti
victory_warning_insaneprisonersdeaths	Se moriranno troppi detenuti malati di mente, perderai il posto di lavoro.
victory_insaneprisonersdeaths_units	Morti

victory_insaneprisonersabused	Detenuti malati di mente assaliti
victory_warning_insaneprisonersabused	Se troppi detenuti malati di mente verranno assaliti dalle guardie, perderai il posto di lavoro.
victory_insaneprisonersabused_units	Aggressioni

victory_adviserwarning_insaneprisonersdeaths1	Non possiamo continuare a lasciare che i nostri detenuti malati di mente subiscano abusi nella nostra prigione! I media ci trascineranno nel fango se non riusciremo a rimetterci in riga!
victory_advisernotice_insaneprisonersdeaths1	Ora basta! Hai chiuso! Avresti dovuto prenderti cura dei malati di mente e invece hai permesso loro di subire crudeltà indicibili. Io posso solo licenziarti, ma ti suggerisco di tornare a casa e farti un bell'esame di coscienza.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Detenuti malati di mente

codex_tooltip_criminallyinsane	Gestisci detenuti che si sentono sempre soppressi, richiedono nuove celle imbottite e terapia psichiatrica per ridurre le loro esigenze di privacy, comfort, sicurezza e libertà, prima che perdano il controllo. Se attivi questa impostazione, è possibile che ad alcuni detenuti normali nella tua prigione sviluppino malattie mentali, se i loro bisogni non vengono soddisfatti. Le malattie mentali dei detenuti possono essere disattivate in Impostazioni mappa.

codex_prisoner_biography_NITG	Biografia personalizzata creata dal giocatore
codex_options_InsaneGauge	Indicatori dei detenuti sopra la testa

codex_option_desert	Lotto di deserto
codex_tooltip_desert	Genera un lotto di terra di partenza con un deserto sabbioso.

codex_options_rendercolours	Sovrapposizioni colorate delle stanze

codex_new_selectdog	Scegli cani da guardia

codex_option_prisonerTurning	I detenuti possono sviluppare malattie mentali

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Malati di mente
rapsheet_insane_bio_desc	I detenuti malati di mente avvertono un livello costante di soppressione e richiedono cellule imbottite e terapie psichiatriche per restare calmi.\n\nI detenuti malati di mente che perdono il controllo possono attaccare il personale, causare danni alla prigione o tentare di evadere, oppure mostrare altri comportamenti imprevedibili.

reputation_Weak	Debole
reputation_Insomniac	Insonne
reputation_Depressed	Depresso
reputation_Outbreaks	Crisi di nervi
reputation_Sickness	Malattia
reputation_Hyperactive	Iperattivo
reputation_Addict	Dipendente
reputation_Claustrophobic	Claustrofobico
reputation_ExtremelyStoical	Estremamente stoico
reputation_ExtremelyVolatile	Estremamente instabile
reputation_Psychopathic	Psicopatico
reputation_Insane	Malato di mente

reputationtooltip_Weak	Questo detenuto è più debole, non se la cava bene nelle risse, quindi è più facile che resti ferito.
reputationtooltip_Insomniac	Questo detenuto richiede pochissimo sonno.
reputationtooltip_Depressed	Questo detenuto si muove molto più lentamente quando si sente soppresso e non riceve cure.
reputationtooltip_Outbreaks	Questo detenuto è incline a crisi violente e danneggia l'ambiente circostante quando si sente soppresso e non riceve cure.
reputationtooltip_Sickness	Questo detenuto è incline a vomitare o sporcarsi quando si sente soppresso e non riceve cure.
reputationtooltip_Hyperactive	Si muove molto più velocemente quando si sente soppresso e non riceve cure.
reputationtooltip_Addict	È più probabile che questo detenuto sviluppi una dipendenza dalle droghe quando si sente soppresso e non riceve cure.
reputationtooltip_Claustrophobic	Il desiderio di questo detenuto di sfuggire a ciò che lo circonda è molto più elevato quando si sente represso e non trattato.
reputationtooltip_ExtremelyStoical	Questo detenuto non verrà soppresso quando viene messo in isolamento o è in presenza di guardie. Non gli importa per nulla.
reputationtooltip_ExtremelyVolatile	Questo è da tenere d'occhio. Qualsiasi cosa può farlo esplodere, e la situazione peggiorerà molto rapidamente.
reputationtooltip_Psychopathic	Questo detenuto è molto più pericoloso e imprevedibile degli altri detenuti malati di mente.
reputationtooltip_Insane	Assicurati che questo detenuto abbia accesso alle sedute con lo psichiatra e a una cella imbottita, per aiutare a calmarlo.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane	Malati di mente
report_intake_list_tooltip_insane	I detenuti malati di mente avvertono un costante livello di soppressione e richiedono nuove cellule imbottite e terapia psichiatrica per ridurre i loro bisogni di privacy, comfort, sicurezza e libertà, prima che perdano il controllo.\n\nNon puoi richiedere detenuti malati di mente finché non hai celle imbottite pronte o una cella di custodia imbottita.\n\nLe celle normali possono essere convertite in celle imbottite tramite il menu Stanze.
report_intake_insane_intake_empty	Al momento non puoi accogliere detenuti malati di mente.\n Devi costruire celle imbottite o celle di custodia imbottite.\nLe celle normali possono essere convertite in celle imbottite tramite il menu Stanze.
report_staff_group_prisoners_insane	Malati di mente
report_Criminally_Insane	Malati di mente
