# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Lista de mudanças completa
buildtoolbar_popup_obj_rorschachTest	Adicionar um teste de Rorschach ao consultório psiquiátrico aprimorará o tratamento feito pelo psiquiatra aos detentos criminosos psicóticos.
buildtoolbar_popup_obj_anatomyModel	Adicionar um modelo de anatomia ao consultório psiquiátrico aprimorará o tratamento feito pelo psiquiatra aos detentos criminosos psicóticos.
buildtoolbar_popup_obj_flipboard	Adicionar um cavalete flipchart com o mapa do cérebro ao consultório psiquiátrico aprimorará o tratamento feito pelo psiquiatra aos detentos criminosos psicóticos.
buildtoolbar_popup_obj_medicineCabinetPsych	Adicionar um armário de remédios ao consultório psiquiátrico aprimorará o tratamento feito pelo psiquiatra aos detentos criminosos psicóticos.
buildtoolbar_popup_obj_leatherchair	Combina com o sofá de couro. Perfeito para os funcionários sentarem, mas, sem sombra de dúvida, bom demais para os prisioneiros.
buildtoolbar_popup_obj_leatherSofa	Adicionar um sofá de couro clássico ao consultório psiquiátrico aprimorará o tratamento feito pelo psiquiatra aos detentos criminosos psicóticos.

buildtoolbar_deployment_insaneseczone	Neste setor, será autorizada exclusivamente a entrada de prisioneiros criminosos psicóticos.

failuremessage_maximumcountreachedgeneric	Quantidade máxima colocada

buildtoolbar_popup_locked_PsychiatricConsultation	Desbloqueado após mais *B consultas psiquiátricas
buildtoobar_PsychConItemImproveInfo	- Aprimora o grau de um psiquiatra.
buildtoobar_PsychConItemImproveSuppression	- Depois da consulta, reduz em 5% a opressão e certas necessidades \nde um detento criminoso psicótico.
buildtoobar_PsychConItemImproveGrace	- Depois da consulta, oferece um período de tolerância de\num dia extra a um detento criminoso psicótico,\nantes que a opressão e certas necessidades comecem a aumentar de novo.
buildtoolbar_popup_obj_Footbridge	Permite que os presos e os funcionários atravessem áreas de terra e água. Não se pode construir sobre muros, cercas e outras edificações.
buildtoolbar_popup_obj_FootbridgeSteel	Permite que os presos e os funcionários atravessem áreas de terra e água. Não se pode construir sobre muros, cercas e outras edificações.
buildtoolbar_popup_obj_FootbridgeB	Permite que os presos e os funcionários atravessem áreas de terra e água. Não se pode construir sobre muros, cercas e outras edificações.
buildtoolbar_popup_obj_FootbridgeSteelB	Permite que os presos e os funcionários atravessem áreas de terra e água. Não se pode construir sobre muros, cercas e outras edificações.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Deixe seus detentos ouvir as suas bandas favoritas durante o dia. Faz com que todos os detentos na mesma sala fiquem ligeiramente mais felizes.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Cela solitária acolchoada

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Destinada aos nossos detentos criminosos psicóticos, com paredes acolchoadas que produzem um efeito tranquilizante.
buildtoolbar_popup_room_paddedholdingcell	Local onde nossos novos detentos criminosos psicóticos são colocados antes que uma cela acolchoada permanente esteja pronta.
buildtoolbar_popup_room_paddedsolitary	Uma forma de prisão isolada para o pior dos nossos detentos criminosos psicóticos.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Acolchoada (pequena)
quickbuild_paddedintermediatecell	Acolchoada (média)
quickbuild_paddedholdingcell	Cela de espera acolchoada
quickbuild_paddedsolitarycell	Cela solitária acolchoada
quickbuild_PsychiatristOffice	Consultório psiquiátrico



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Setor “Apenas psicóticos”
interfacetopbar_PrisonerCells_insaneSecOnly	Capacidade de criminosos psicóticos: *X

roomgrading_PsychiatristOffice_info	Desbloqueie e coloque objetos extras no consultório psiquiátrico para aprimorar o tratamento de detentos criminosos psicóticos\n.
Items	desbloqueados com detentos criminosos psicóticos que participem de programas de consultas psiquiátricas.
roomgrading_PsychiatristOffice_Item	Item: *X
roomgrading_PsychiatristOffice_Quality	Capacidade psiquiátrica: *Q
roomgrading_PsychiatristOffice_Upgrade	Atualize o consultório psiquiátrico para aprimorar suas capacidades.

roomgrading_score_average	MÉDIA
roomgrading_score_good	BOA
roomgrading_score_verygood	MUITO BOA
roomgrading_score_outstanding	INCRÍVEL

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Ala de criminosos psicóticos
objective_grant_firstinsanecellblock_description	O governo está disposto a financiar a expansão da nossa prisão, aportando recursos para abrigar e proteger o bem-estar dos detentos criminosos psicóticos.\n\nEste subsídio ajudará a facilitar a construção de celas acolchoadas especiais e a contratação de psiquiatras treinados.
objective_grant_firstinsanecellblock_cells	Construa uma ala / um bloco de celas para os criminosos psicóticos com 10 celas acolchoadas
objective_grant_firstinsanecellblock_prisoners	Acolha 10 prisioneiros criminosos psicóticos
objective_grant_firstinsanecellblock_psychiatrist	Contrate 2 psiquiatras (cada um requer um consultório)

objective_readinsaneletter	Diretrizes do Diretor-Presidente sobre detentos criminosos psicóticos
objective_readinsaneletter_description	Antes de incluir detentos criminosos psicóticos na sua prisão, deve-se equipar as instalações e conseguir os funcionários apropriados, a fim de cuidar direito das necessidades deles. O Diretor-Presidente.

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	Ex-oficial de justiça, Hartman transmite técnicas de treinamento valiosas para a equipe de segurança.\n\n- Todos os guardas deixam cair com menos frequência as chaves dos funcionários\n - O vigor do guarda se recupera com a ingestão.
warden_wardeninsanehawk_desc_short	- O vigor dos guardas aumenta na chegada de detentos.

warden_wardeninsaneslugworth_name	Dr. Slugworth
warden_wardeninsaneslugworth_desc	Enquanto todas as demais prisões os negam, Slugworth abre as portas para os piores detentos criminosos psicóticos que existem, acreditando que pode ajudá-los.\n\n- Os tratamentos psiquiátricos são 20% mais positivos\n- Aumenta a chance de receber detentos criminosos psicóticos psicopatas!
warden_wardeninsaneslugworth_desc_short	- Aceita mais detentos criminosos psicóticos psicopatas. Os psiquiatras oferecem melhor tratamento.

warden_wardeninsanehudson_name	Dr. Hudson
warden_wardeninsanehudson_desc	O Dr. Hudson está pronto para fazer o que nenhum outro diretor de presídio consegue…\n\n- Os serviços de emergência funcionam 20% mais depressa e chegam mais cedo\n- Reduz em 10% os custos dos reparos
warden_wardeninsanehudson_desc_short	- Tempos de resposta mais rápidos e custos de reparos reduzidos.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Mortes de presos psicóticos
victory_warning_insaneprisonersdeaths	Você será despedido se morrerem detentos psicóticos demais.
victory_insaneprisonersdeaths_units	Mortes

victory_insaneprisonersabused	Detentos psicóticos atacados
victory_warning_insaneprisonersabused	Você será despedido se muitos detentos psicóticos forem atacados por guardas.
victory_insaneprisonersabused_units	Ataques

victory_adviserwarning_insaneprisonersdeaths1	Não podemos continuar permitindo que os detentos criminosos psicóticos sofram abusos dentro da nossa prisão! A mídia arrastará nosso nome pela lama se não pusermos nossa prisão em ordem!
victory_advisernotice_insaneprisonersdeaths1	É isso mesmo! Acabou! Você devia estar cuidando dos detentos com doenças mentais; entretanto, em vez disso, permitiu que eles sofressem crueldades indescritíveis. Só posso despedir você, mas sugiro que vá para casa e reavalie suas escolhas de vida.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Detentos criminosos psicóticos

codex_tooltip_criminallyinsane	Lidar com presos que estão constantemente se sentindo oprimidos requerem novas celas acolchoadas e ajuda psiquiátrica a fim de reduzir as necessidades de privacidade, conforto, segurança e liberdade, antes que eles explodam. Ativar esta configuração também permitirá que alguns presos normais sejam levados à loucura na prisão, caso as necessidades deles não sejam atendidas. É possível desativar a opção de os detentos se tornarem criminosos psicóticos nas Configurações de Mapa.

codex_prisoner_biography_NITG	Biografia personalizada criada pelo jogador
codex_options_InsaneGauge	Medidores suspensos de detentos

codex_option_desert	Terreno deserto
codex_tooltip_desert	Gera um terreno inicial que se assemelha a um deserto arenoso.

codex_options_rendercolours	Revestimentos de aposentos coloridos

codex_new_selectdog	Escolha dos cães de guarda

codex_option_prisonerTurning	Os presos podem se tornar criminosos psicóticos

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Criminoso psicótico
rapsheet_insane_bio_desc	Os detentos criminosos psicóticos sentem um nível constante de opressão, necessitando de celas acolchoadas e de ajuda psiquiátrica para manterem-se calmos.\n\nOs detentos criminosos psicóticos que explodem podem atacar nossos funcionários, causar danos patrimoniais à prisão ou tentar se libertar, assim como exibir outros comportamentos imprevisíveis.

reputation_Weak	Fraco(a)
reputation_Insomniac	Insone
reputation_Depressed	Deprimido(a)
reputation_Outbreaks	Com surtos
reputation_Sickness	Doente
reputation_Hyperactive	Hiperativo(a)
reputation_Addict	Viciado(a)
reputation_Claustrophobic	Claustrofóbico(a)
reputation_ExtremelyStoical	Extremamente indiferente
reputation_ExtremelyVolatile	Extremamente volátil
reputation_Psychopathic	Psicopático(a)
reputation_Insane	Criminoso psicótico(a)

reputationtooltip_Weak	Este prisioneiro é mais fraco, não se sairá bem em uma luta e, portanto, é mais suscetível a lesões.
reputationtooltip_Insomniac	Este prisioneiro necessita de muito pouco sono.
reputationtooltip_Depressed	Este prisioneiro se move muito mais devagar quando se sente oprimido e sem tratamento.
reputationtooltip_Outbreaks	Este prisioneiro tem tendência a surtos violentos e a causar danos ao ambiente à sua volta quando se sente oprimido e sem tratamento.
reputationtooltip_Sickness	Este prisioneiro tem tendência de vomitar ou se sujar quando se sente oprimido e sem tratamento.
reputationtooltip_Hyperactive	Quando se sente oprimido e sem tratamento, movimenta-se muito mais rápido.
reputationtooltip_Addict	Quando se sente oprimido e sem tratamento, este prisioneiro tem mais chance de desenvolver um vício em drogas.
reputationtooltip_Claustrophobic	Quando se sente oprimido e sem tratamento, o desejo deste prisioneiro de escapar de seus arredores é muito maior.
reputationtooltip_ExtremelyStoical	Este prisioneiro não ficará oprimido quando trancado na solitária ou na presença de guardas. Não se importa com nada.
reputationtooltip_ExtremelyVolatile	Fique de olho neste. Qualquer coisa pode fazê-lo explodir, alcançando proporções terríveis em muito pouco tempo.
reputationtooltip_Psychopathic	Este prisioneiro é muito mais perigoso e imprevisível do que outros detentos criminosos psicóticos.
reputationtooltip_Insane	Garanta que este preso tenha acesso às consultas psiquiátricas de um psiquiatra e a uma cela acolchoada para ajudar a acalmá-lo.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane	Criminoso psicótico
report_intake_list_tooltip_insane	Os detentos criminosos psicóticos sentem um nível constante de opressão, necessitando de novas celas acolchoadas e de ajuda psiquiátrica para reduzir suas necessidades de privacidade, conforto, segurança e liberdade, antes de explodir.\n\nVocê não pode solicitar detentos criminosos psicóticos até ter algumas celas acolchoadas prontas, ou uma cela de espera acolchoada.\n\nAs celas normais podem ser convertidas em celas acolchoadas pelo menu Aposentos.
