# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Registro completo de cambios
buildtoolbar_deployment_insaneseczone	Solo se permitirá el acceso a los presos con problemas mentales.

failuremessage_maximumcountreachedgeneric	Máximo colocado

buildtoolbar_popup_locked_PsychiatricConsultation	Se desbloquea tras *B sesiones psiquiátricas.
buildtoobar_PsychConItemImproveInfo	- Mejora el grado de una oficina del psiquiatra
buildtoobar_PsychConItemImproveSuppression	- Tras la consulta, reduce la represión y algunas necesidades\nde un preso con problemas mentales un +5%
buildtoobar_PsychConItemImproveGrace	- Tras la consulta, proporciona a un preso con problemas mentales\nun período de "gracia" de 1 día,\ndurante el que la represión y algunas necesidades no suben otra vez.
buildtoolbar_popup_obj_Footbridge	Permite que los presidiarios y el personal atraviesen zonas de tierra y agua. No puede atravesar paredes, verjas u otros edificios.
buildtoolbar_popup_obj_FootbridgeSteel	Permite que los presidiarios y el personal atraviesen zonas de tierra y agua. No puede atravesar paredes, verjas u otros edificios.
buildtoolbar_popup_obj_FootbridgeB	Permite que los presidiarios y el personal atraviesen zonas de tierra y agua. No puede atravesar paredes, verjas u otros edificios.
buildtoolbar_popup_obj_FootbridgeSteelB	Permite que los presidiarios y el personal atraviesen zonas de tierra y agua. No puede atravesar paredes, verjas u otros edificios.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Permite a los reclusos escuchar a sus bandas masculinas preferidas mientras realizan sus actividades cotidianas. Aumenta ligeramente la felicidad de todos los reclusos que estén en la misma sala.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Celda acolchada de aislamiento

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Diseñada para reclusos con problemas mentales. Las paredes acolchadas tienen un efecto tranquilizador.
buildtoolbar_popup_room_paddedholdingcell	Aquí alojamos a los presos con problemas mentales hasta que la celda acolchada permanente esté lista.
buildtoolbar_popup_room_paddedsolitary	Una celda completamente aislada para lo peor de lo peor de los presos con problemas mentales.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Acolchada (pequeña)
quickbuild_paddedintermediatecell	Acolchada (media)
quickbuild_paddedholdingcell	Celda provisional acolchada
quickbuild_paddedsolitarycell	Celda acolchada de aislamiento
quickbuild_PsychiatristOffice	Oficina del psiquiatra



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Solo prob. ment.
interfacetopbar_PrisonerCells_insaneSecOnly	Capacidad para problemas mentales: *X

roomgrading_PsychiatristOffice_info	Desbloquea y coloca más objetos en la oficina del psiquiatra para mejorar el trato que reciben los presos con problemas mentales.\n
Items	se desbloquean mediante los reclusos dementes que asisten a los programas de consulta psiquiátrica.
roomgrading_PsychiatristOffice_Item	Objeto: *X
roomgrading_PsychiatristOffice_Quality	Habilidad del psiquiatra: *Q
roomgrading_PsychiatristOffice_Upgrade	Mejora la oficina del psiquiatra para aumentar su habilidad.

roomgrading_score_average	NORMAL
roomgrading_score_good	BUENO
roomgrading_score_verygood	MUY BUENO
roomgrading_score_outstanding	EXCEPCIONAL

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Ala para problemas mentales
objective_grant_firstinsanecellblock_description	El gobierno está dispuesto a financiar la expansión de la prisión para que alberguemos y protejamos a reclusos con problemas mentales.\n\nEsta subvención nos permitirá construir celdas acolchadas y contratar a psiquiatras profesionales.
objective_grant_firstinsanecellblock_cells	Construye un ala/sector para presos con problemas mentales con 10 celdas acolchadas.
objective_grant_firstinsanecellblock_prisoners	Recibe 10 presos con problemas mentales.
objective_grant_firstinsanecellblock_psychiatrist	Contrata a 2 psiquiatras (cada uno con su oficina)

objective_readinsaneletter	Directrices del director ejecutivo para reclusos con problemas mentales.
objective_readinsaneletter_description	Antes de introducir presos con problemas mentales en la prisión, debería preparar las instalaciones y el personal necesarios para atender a sus necesidades - Director ejecutivo

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	Como antiguo cazarrecompensas, Hartman enseña técnicas valiosas al personal de seguridad.\n\n- Todos los guardias sueltan llaves de personal menos a menudo\n- La resistencia de los guardias se repone con la entrada de presos.
warden_wardeninsanehawk_desc_short	- La resistencia de los guardias se repone con la entrada de presos

warden_wardeninsaneslugworth_name	Dr. Slugworth
warden_wardeninsaneslugworth_desc	Cuando las otras prisiones los rechazan, Slugworth abre las puertas a los presos con problemas mentales más peligrosos, creyendo que puede ayudar.\n\n- Los tratamientos psiquiátricos son un 20 % más positivos\n- ¡Aumentan las probabilidades de recibir psicópatas con problemas mentales!
warden_wardeninsaneslugworth_desc_short	- Acepta a más psicópatas con problemas mentales. Los psiquiatras ofrecen mejor tratamiento.

warden_wardeninsanehudson_name	Dr. Hudson
warden_wardeninsanehudson_desc	El Dr. Hudson está dispuesto a hacer lo que ningún otro alcaide puede...\n\n - Los servicios de emergencias actúan un 20 % más rápido y llegan antes\n - El coste de las reparaciones se reduce un 10 %.
warden_wardeninsanehudson_desc_short	- Mejora el tiempo de respuesta y reduce el coste de las reparaciones.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Muertes de presos con problemas mentales
victory_warning_insaneprisonersdeaths	Te despedirán si mueren muchos presos con problemas mentales.
victory_insaneprisonersdeaths_units	Muertes

victory_insaneprisonersabused	Ataques a presos con problemas mentales
victory_warning_insaneprisonersabused	Te despedirán si los guardias atacan a muchos presos con problemas mentales.
victory_insaneprisonersabused_units	Ataques

victory_adviserwarning_insaneprisonersdeaths1	¡No podemos dejar que se maltrate así a los presos con problemas mentales en la prisión! ¡La prensa se nos va a comer vivos si no remediamos este problema!
victory_advisernotice_insaneprisonersdeaths1	¡Se acabó! ¡Tenías que cuidar de los enfermos mentales, no permitir que sufran unas vejaciones constantes! Solo puedo despedirte, pero te sugiero que cuando llegues a tu casa reevalúes tu vida.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Presos con problemas mentales

codex_tooltip_criminallyinsane	Ocúpate de presos que se sienten reprimidos constantemente, necesitan las nuevas celdas acolchadas y ayuda psiquiátrica para sus necesidades de intimidad, comodidad, seguridad y libertad antes de que les dé un ataque. Si activas esta opción, también es posible que tus presos normales desarrollen problemas mentales si no atiendes a sus necesidades. En los ajustes del mapa puedes desactivar el que los presos desarrollen problemas mentales.

codex_prisoner_biography_NITG	Biografía personalizada creada por el jugador
codex_options_InsaneGauge	Medidores sobre los prisioneros

codex_option_desert	Terreno desértico
codex_tooltip_desert	Genera una parcela de terreno inicial que parezca un desierto.

codex_options_rendercolours	Capas de colores para salas

codex_new_selectdog	Elige perros guardianes

codex_option_prisonerTurning	Los prisioneros pueden desarrollar problemas mentales

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Problemas mentales
rapsheet_insane_bio_desc	Los presos con problemas mentales sienten un nivel de represión constante y necesitan celdas acolchadas y atención psiquiátrica para que estén tranquilos.\n\nA los presos con problemas mentales les puede dar un ataque, durante el que agreden al personal, dañan la prisión, intentan fugarse o actúan de forma impredecible.

reputation_Weak	Débil
reputation_Insomniac	Insomne
reputation_Depressed	Deprimido
reputation_Outbreaks	Arrebatos
reputation_Sickness	Enfermo
reputation_Hyperactive	Hiperactivo
reputation_Addict	Adicto
reputation_Claustrophobic	Claustrofobia
reputation_ExtremelyStoical	Extremadamente estoico
reputation_ExtremelyVolatile	Extremadamente volátil
reputation_Psychopathic	Psicópata
reputation_Insane	Problemas mentales

reputationtooltip_Weak	Este prisionero es más débil, pelear no es lo suyo y por lo tanto es más probable que se lesione.
reputationtooltip_Insomniac	Este prisionero no necesita dormir mucho.
reputationtooltip_Depressed	Este prisionero se mueve muy lentamente si se siente reprimido y no lo tratas.
reputationtooltip_Outbreaks	Este prisionero es propenso a sufrir arrebatos violentos y daña su entorno cuando se siente reprimido y no lo tratas.
reputationtooltip_Sickness	Este prisionero es propenso a vomitar y defecarse encima cuando se siente reprimido y no lo tratas.
reputationtooltip_Hyperactive	Este prisionero se mueve rápidamente si se siente reprimido y no lo tratas.
reputationtooltip_Addict	Este prisionero desarrolla adicciones a drogas con más facilidad si se siente reprimido y no lo tratas.
reputationtooltip_Claustrophobic	Las ansias de fuga de este prisionero son mucho mayores si se siente reprimido y no lo tratas.
reputationtooltip_ExtremelyStoical	A este recluso no le reprimirán el aislamiento ni la presencia de guardias. No le molestan en absoluto.
reputationtooltip_ExtremelyVolatile	No le quites ojo a este. Puede estallar a la mínima y las cosas no tardarán en empeorar.
reputationtooltip_Psychopathic	Este prisionero es mucho más peligroso e impredecible que los otros prisioneros con problemas mentales.
reputationtooltip_Insane	Asegúrate de que este preso tiene acceso a la consulta de un psiquiatra y a una celda acolchada para tranquilizarlo.

# =============================================================================
# Reports
# =============================================================================

report_intake_cat_insane	Problemas mentales
report_intake_list_tooltip_insane	Los presos con problemas mentales sienten un nivel de represión constante y necesitan las nuevas celdas acolchadas y atención psiquiátrica para atender a sus necesidades de intimidad, comodidad, seguridad y libertad y así evitar que les dé un ataque. \n\nNo puedes pedir que te envíen presos con problemas mentales hasta que tengas una celda acolchada o una celda provisional acolchada.\n\nPuedes acolchar celdas normales en el menú de salas.
report_intake_insane_intake_empty	No puedes recibir presos con problemas mentales ahora mismo.\n Construye celdas acolchadas o celdas provisionales acolchadas primero.\nPuedes acolchar las celdas normales en el menú de salas.
report_staff_group_prisoners_insane	Problemas mentales
report_Criminally_Insane	Problemas mentales
report_Pyschopathic	Psicópata

report_intake_enable_insane	Habilitar
report_intake_psychward_title	Centro psiquiátrico: Edición Alcaide
report_intake_psychward_tooltip	Activa las funciones de Centro psiquiátrico: Edición Alcaide en esta prisión.\n\nEsto te permitirá recibir prisioneros con problemas mentales en tu prisión, aunque primero deberías prepararla.\n\nPodrás investigar y contratar psiquiatras y ordenanzas y construir celdas acolchadas.\n\nTanto los psiquiatras como las celdas acolchadas te ayudarán a tener a los presos con problemas mentales tranquilos y controlados.
