# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	전체 변경 로그
buildtoolbar_popup_help_quickBuildWall_1	다음 빠른 건설에 선택한 벽 유형을 사용합니다.


buildtoolbar_popup_mat_blueclassywall	토대에 고급 벽을 건설하여 새로운 직원용 공간이나 방을 만드세요.
buildtoolbar_popup_mat_burgundyclassywall	토대에 고급 벽을 건설하여 새로운 직원용 공간이나 방을 만드세요.
buildtoolbar_popup_mat_greenclassywall	토대에 고급 벽을 건설하여 새로운 직원용 공간이나 방을 만드세요.

buildtoolbar_popup_obj_windowclassy	실제보다 더 아름답게 외부를 꾸미세요.
buildtoolbar_popup_obj_windowclassyLarge	실제보다 더 아름답게 외부를 꾸미세요.
buildtoolbar_popup_obj_gravestone	감옥에서 사망자가 발생하면 묘비가 제공됩니다.

buildtoolbar_popup_staff_psychiatrist	정신 이상 재소자를 정기적으로 상담하는 고급 직원입니다.\n감옥에 정신과 상담 프로그램을 설정하면 정신과 의사가 정기적으로 1 대 1 세션을 진행하여 정신 이상 죄수를 진정시킵니다.\n정신 이상 죄수가 많은 경우 모든 죄수를 상담할 수 있도록 정신과 의사를 더 고용해야 합니다. 각자에게 사무실을 제공하는 것도 잊지 마세요.

buildtoolbar_popup_staff_orderly	정신병이 있는 죄수를 전문적으로 관리하는 데 특화된 의료 직원입니다.
buildtoolbar_popup_obj_leatherchair	가죽 소파와 잘 어울립니다. 직원들이 앉기에는 적당하며 죄수들에게 제공하기에는 호사스럽습니다.

buildtoolbar_popup_obj_rorschachTest	정신과 사무실에 로르샤흐 테스트를 설치하면 정신과 의사가 정신 이상 재소자를 더 잘 치료합니다.
buildtoolbar_popup_obj_anatomyModel	정신과 사무실에 해부학 모형을 설치하면 정신과 의사가 정신 이상 재소자를 더 잘 치료합니다.
buildtoolbar_popup_obj_flipboard	정신과 사무실에 뇌 그림이 그려진 안내판을 설치하면 정신과 의사가 정신 이상 재소자를 더 잘 치료합니다.
buildtoolbar_popup_obj_medicineCabinetPsych	정신과 사무실에 약장을 설치하면 정신과 의사가 정신 이상 재소자를 더 잘 치료합니다.
buildtoolbar_popup_obj_leatherchair	가죽 소파와 잘 어울립니다. 직원들이 앉기에는 적당하며 죄수들에게 제공하기에는 호사스럽습니다.
buildtoolbar_popup_obj_leatherSofa	정신과 사무실에 클래식 가죽 소파를 설치하면 정신과 의사가 정신 이상 재소자를 더 잘 치료합니다.

buildtoolbar_deployment_insaneseczone	정신 이상 죄수만 이 구역에 들어가는 것이 허용됩니다.

failuremessage_maximumcountreachedgeneric	최대량 배치

buildtoolbar_popup_locked_PsychiatricConsultation	정신과 세션을 *B회 더 진행하면 잠금해제됩니다.
buildtoobar_PsychConItemImproveInfo	- 정신과 사무실 등급 상향
buildtoobar_PsychConItemImproveSuppression	- 상담 후 정신 이상 재소자의\n우울감 및 특정 욕구가 +5% 감소했습니다.
buildtoobar_PsychConItemImproveGrace	- 상담 후 정신 이상 재소자의\n우울감 및 특정 욕구가 다시 오르기 전에\n추가로 '품위' 기간을 하루 더 제공하세요.
buildtoolbar_popup_obj_Footbridge	재소자 및 직원이 땅과 물이 있는 구역을 건널 수 있도록 합니다. 벽, 철조망, 다른 건물 위로는 건설할 수 없습니다.
buildtoolbar_popup_obj_FootbridgeSteel	재소자 및 직원이 땅과 물이 있는 구역을 건널 수 있도록 합니다. 벽, 철조망, 다른 건물 위로는 건설할 수 없습니다.
buildtoolbar_popup_obj_FootbridgeB	재소자 및 직원이 땅과 물이 있는 구역을 건널 수 있도록 합니다. 벽, 철조망, 다른 건물 위로는 건설할 수 없습니다.
buildtoolbar_popup_obj_FootbridgeSteelB	재소자 및 직원이 땅과 물이 있는 구역을 건널 수 있도록 합니다. 벽, 철조망, 다른 건물 위로는 건설할 수 없습니다.
buildtoolbar_popup_obj_BoomBoxRoundHouse	죄수들이 일상생활 중 좋아하는 남성 밴드의 노래를 들을 수 있게 해줍니다. 같은 방에 있는 모든 죄수들이 조금 더 행복해질 수 있게 해주죠.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	쿠션이 있는 독방

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	정신 이상 재소자에게 진정 효과가 있는 쿠션 벽을 제공합니다.
buildtoolbar_popup_room_paddedholdingcell	정신 이상 신규 재소자가 영구적인 쿠션이 있는 감옥에 들어가기 전 머무는 곳입니다.
buildtoolbar_popup_room_paddedsolitary	정신 이상 재소자 중 가장 상태가 좋지 않은 재소자를 가두는 독립된 공간입니다.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	쿠션 있음(소형)
quickbuild_paddedintermediatecell	쿠션 있음(중형)
quickbuild_paddedholdingcell	쿠션이 있는 유치장
quickbuild_paddedsolitarycell	쿠션이 있는 독방
quickbuild_PsychiatristOffice	정신과 사무실



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	정신 이상 환자 전용
interfacetopbar_PrisonerCells_insaneSecOnly	정신 이상자 수용능력: *X

roomgrading_PsychiatristOffice_info	정신 이상 재소자의 치료 효과를 높이기 위해 잠금해제하고 정신과 사무실에 더 많은 사물을 배치하세요.\n
Items	정신과 상담 프로그램에 참여하는 정신 이상 재소자를 통해 잠금이 해제됩니다.
roomgrading_PsychiatristOffice_Item	아이템: *X
roomgrading_PsychiatristOffice_Quality	정신과 의사 능력치: *Q
roomgrading_PsychiatristOffice_Upgrade	정신과 사무실을 업그레이드하고 정신과 의사의 능력치를 높이세요.

roomgrading_score_average	평범함
roomgrading_score_good	좋음
roomgrading_score_verygood	아주 좋음
roomgrading_score_outstanding	뛰어남

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	정신 이상자 병동
objective_grant_firstinsanecellblock_description	정부는 정신 이상 재소자를 보호하고 이들을 더 잘 치료할 수 있도록 감옥 확장 비용을 제공하려고 합니다.\n\n이 비용이면 쿠션이 있는 감옥을 건설하고 훈련된 정신과 의사를 고용하는 데 도움이 될 것입니다.
objective_grant_firstinsanecellblock_cells	병동 / 정신 이상자를 수용하는 10개의 쿠션 감옥이 있는 감방 구역 건설
objective_grant_firstinsanecellblock_prisoners	정신 이상 죄수 10명 입소
objective_grant_firstinsanecellblock_psychiatrist	정신과 의사 2명 고용(각각 사무실 필요)

objective_readinsaneletter	정신 이상 재소자를 위한 CEO 지침
objective_readinsaneletter_description	정신 이상 재소자를 감옥에 수감하기 전 이들을 잘 관리하기 위해 적절한 시설 및 직원을 준비해야 합니다. - CEO,

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	호크 하트먼
warden_wardeninsanehawk_desc	과거 보석 보증인으로서 보안 직원들에게 귀중한 훈련 기술을 전수했습니다.\n\n -모든 교도관이 직원 열쇠를 분실하는 일이 줄어듭니다\n - 섭취하면 교도관의 스태미너가 회복됩니다
warden_wardeninsanehawk_desc_short	- 섭취하면 교도관의 스태미너가 회복됩니다.

warden_wardeninsaneslugworth_name	슬러그워스 박사
warden_wardeninsaneslugworth_desc	모든 감옥이 거부할 때 슬러그워스 박사는 외부의 위험한 정신 이상자를 도울 수 있다고 믿으며 감옥의 문을 열었습니다.\n\n - 정신과 의사가 20% 더 긍정적인 치료를 합니다\n - 사이코패스 정신 이상 재소자 수감 확률이 올라갑니다!
warden_wardeninsaneslugworth_desc_short	- 더 많은 사이코패스 정신 이상 재소자를 수감할 수 있습니다. 정신과 의사들이 더 잘 치료합니다.

warden_wardeninsanehudson_name	허드슨 박사
warden_wardeninsanehudson_desc	허드슨 박사는 다른 교도소장이 할 수 없었던 일을 준비합니다...\n\n - 응급 서비스가 20% 빨라지고 더 빨리 도착합니다\n - 수리 비용이 10% 감소합니다
warden_wardeninsanehudson_desc_short	- 응답 시간이 빨라지고 수리 비용이 감소합니다.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	정신 이상 재소자 사망
victory_warning_insaneprisonersdeaths	정신 이상 재소자가 너무 많이 사망하면 해고됩니다.
victory_insaneprisonersdeaths_units	사망

victory_insaneprisonersabused	정신 이상 재소자 공격
victory_warning_insaneprisonersabused	교도관이 정신 이상 재소자를 너무 많이 공격하면 해고됩니다.
victory_insaneprisonersabused_units	공격

victory_adviserwarning_insaneprisonersdeaths1	우리 감옥에서는 더 이상 정신 이상 재소자를 학대하지 않습니다! 힘을 합치지 않으면 미디어가 우리 이름에 먹칠을 할 것입니다!
victory_advisernotice_insaneprisonersdeaths1	그만! 그만하세요! 정신 이상 재소자들은 입에 담을 수 없을 정도로 학대하는 것이 아니라 잘 보살펴야 합니다. 해고할 수도 있지만 집에 돌아가 인생의 선택을 다시 돌아봤으면 좋겠군요.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	정신 이상 재소자

codex_tooltip_criminallyinsane	계속해서 우울함을 느끼는 재소자들에게 쿠션이 있는 새 감방을 제공하고, 정신과 의사는 이들이 폭발하기 전에 이들의 사생활과 편안함, 안전과 자유를 향한 욕구를 감소시킵니다. 이 설정을 사용하면 감옥의 일반 재소자의 욕구 관리를 제대로 하지 않을 경우 그 중 일부가 정신적인 문제를 일으킬 수 있습니다. 재소자가 정신 이상 재소자로 바뀌는 설정은 맵 설정에서 끌 수 있습니다.

codex_prisoner_biography_NITG	플레이어가 생성한 커스텀 경력
codex_options_InsaneGauge	총 재소자 게이지

codex_option_desert	사막 땅
codex_tooltip_desert	모래 사막과 유사한 시작 지역을 생성합니다.

codex_options_rendercolours	방에 색 입히기

codex_new_selectdog	경비견 선택

codex_option_prisonerTurning	재소자가 정신 이상 재소자로 변화 가능

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	정신 이상자
rapsheet_insane_bio_desc	정신 이상 재소자는 끊임없이 우울감을 느끼기 때문에 쿠션이 있는 감방과 진정시켜 줄 정신과 의사가 필요합니다.\n\n정신 이상 재소자가 폭발할 경우 직원을 공격하고, 감옥에 물리적 피해를 입히며 탈옥이나 기타 예상하지 못한 행동을 하려고 합니다.

reputation_Weak	허약
reputation_Insomniac	불면
reputation_Depressed	우울
reputation_Outbreaks	폭발
reputation_Sickness	질병
reputation_Hyperactive	활동 과잉
reputation_Addict	중독
reputation_Claustrophobic	밀실 공포
reputation_ExtremelyStoical	극도의 금욕
reputation_ExtremelyVolatile	극도의 변덕
reputation_Psychopathic	사이코패스
reputation_Insane	정신 이상자

reputationtooltip_Weak	죄수가 허약해지면 싸움에서 좋은 결과를 내지 못해 쉽게 부상을 입습니다.
reputationtooltip_Insomniac	이 죄수의 필요 수면량은 매우 적습니다.
reputationtooltip_Depressed	이 죄수는 우울하거나 관심을 주지 않으면 훨씬 느리게 움직입니다.
reputationtooltip_Outbreaks	이 죄수는 우울하거나 관심을 주지 않으면 갑자기 폭력 양상을 드러내기 쉬우며 주변을 파괴합니다.
reputationtooltip_Sickness	이 죄수는 우울하거나 관심을 주지 않으면 갑자기 구토하거나 자해합니다.
reputationtooltip_Hyperactive	이 죄수는 우울하거나 관심을 주지 않으면 훨씬 빠르게 움직입니다.
reputationtooltip_Addict	이 죄수는 우울하거나 관심을 주지 않으면 약물 중독이 발생하기 쉽습니다.
reputationtooltip_Claustrophobic	이 죄수는 우울하거나 관심을 주지 않으면 현재 환경에서 도망치려는 욕구가 높아집니다.
reputationtooltip_ExtremelyStoical	이 죄수는 독방에 가두거나 교도관이 있어도 우울해하지 않습니다. 전혀 신경을 쓰지 않습니다.
