# June27th Update
# =============================================================================

# Codex
# =============================================================================

codex_viewchangelog	Pełny Dziennik Zmian
room_PaddedHoldingCell	Wyściełane pomieszczenie tymczasowe
room_PsychiatristOffice	Gabinet psychiatryczny

interfaceplanning_BuildPlan	Plany budowy
interfaceplanning_ClearPlan	Wyczyść plany
interfaceplanning_Door	Drzwi

buildtoolbar_improvement	- Ulepsza klasę *R
buildtoolbar_improvement_windows	(przy skierowaniu na zewnątrz)

buildplan_title	Wybór rodzaju ściany
buildplan_message	Chcesz przeprowadzić budowę według własnego planu?\n	Pamiętaj, że tej akcji nie można cofnąć.\n\n	Wszystkie zaprojektowane ściany zostaną zbudowane przy użyciu jednego rodzaju ścian.\n	Poniżej można zmienić wybrany rodzaj ściany.
clearplan_title	Usuń plany
clearplan_message	Czy na pewno chcesz usunąć wszystkie plany?\n \n	Tej akcji nie można cofnąć.

d11_custom_planning	Planowanie niestandardowe

buildtoolbar_popup_planning	Zaplanuj swoje więzienie bez obaw, że robotnicy przedwcześnie wezmą się do pracy. Menu Planowania umożliwia zbudowanie wszystkich przygotowanych obiektów i drzwi, usunięcie części planu lub usunięcie całego planu i rozpoczęcie od nowa.

buildtoolbar_popup_help_planningDoor_1	Wybrany rodzaj drzwi zostanie użyty po umieszczeniu na planie.
buildtoolbar_popup_help_quickBuildWall_1	Wybrany typ ściany zostanie wykorzystany podczas kolejnej Szybkiej Budowy/Budów


buildtoolbar_popup_mat_blueclassywall	Buduj luksusowe ściany na fundamentach, aby tworzyć nowe obszary dla personelu lub pomieszczenia.
buildtoolbar_popup_mat_burgundyclassywall	Buduj luksusowe ściany na fundamentach, aby tworzyć nowe obszary dla personelu lub pomieszczenia.
buildtoolbar_popup_mat_greenclassywall	Buduj luksusowe ściany na fundamentach, aby tworzyć nowe obszary dla personelu lub pomieszczenia.

buildtoolbar_popup_obj_windowclassy	Sprawia, że po drugiej stronie jest o wiele lepiej niż w rzeczywistości.
buildtoolbar_popup_obj_windowclassyLarge	Sprawia, że po drugiej stronie jest o wiele lepiej niż w rzeczywistości.
buildtoolbar_popup_obj_gravestone	Nagrobek dostarczany jest po każdym zgonie w więzieniu.

buildtoolbar_popup_staff_psychiatrist	Wykwalifikowany członek personelu, który odbywa regularne sesje z chorymi psychicznie osadzonymi.\nPo uruchomieniu w zakładzie programu konsultacji psychiatrycznych, nasi specjaliści regularnie odbywają indywidualne sesje terapeutyczne z psychicznie chorymi, aby pomóc im się wyciszyć. \nJeśli w więzieniu przebywa wielu chorych, konieczne jest zatrudnienie odpowiedniej liczby psychiatrów, którzy się nimi zajmą. Należy zadbać o to, aby każdy z nich posiadał własny gabinet.

buildtoolbar_popup_staff_orderly	Personel medyczny, specjalnie przeszkolony w obchodzeniu się z psychicznie chorymi przestępcami.
buildtoolbar_popup_obj_leatherchair	Doskonale współgra ze skórzaną kanapą. Idealne dla personelu i stanowczo zbyt wygodne dla więźniów.

buildtoolbar_popup_obj_rorschachTest	Dodanie testu Rorschacha do gabinetu psychiatry poprawi jakość stosowanej przez psychiatrę terapii dla psychicznie chorych więźniów.
buildtoolbar_popup_obj_anatomyModel	Dodanie modelu budowy anatomicznej do gabinetu psychiatry poprawi jakość stosowanej przez psychiatrę terapii dla psychicznie chorych więźniów.
buildtoolbar_popup_obj_flipboard	Dodanie tablicy ze schematem mózgu do gabinetu psychiatry poprawi jakość stosowanej przez psychiatrę terapii dla psychicznie chorych więźniów.
buildtoolbar_popup_obj_medicineCabinetPsych	Dodanie szafki z lekami do gabinetu psychiatry poprawi jakość stosowanej przez psychiatrę terapii dla psychicznie chorych więźniów.
buildtoolbar_popup_obj_leatherchair	Doskonale współgra ze skórzaną kanapą. Idealne dla personelu i stanowczo zbyt wygodne dla więźniów.
buildtoolbar_popup_obj_leatherSofa	Dodanie klasycznej skórzanej kanapy do gabinetu psychiatry poprawi jakość stosowanej przez psychiatrę terapii dla psychicznie chorych więźniów.

buildtoolbar_deployment_insaneseczone	Do tej strefy będą dopuszczeni tylko psychicznie chorzy przestępcy.

failuremessage_maximumcountreachedgeneric	Umieszczono maksymalną ilość

buildtoolbar_popup_locked_PsychiatricConsultation	Odblokowanie po *B kolejnych sesjach psychiatrycznych
buildtoobar_PsychConItemImproveInfo	- Zwiększa klasę gabinetu psychiatrycznego.
buildtoobar_PsychConItemImproveSuppression	- Po sesji terapeutycznej redukuje poziom napięcia oraz\nokreślone potrzeby psychicznie chorych więźniów o 5%
buildtoobar_PsychConItemImproveGrace	- Po sesji terapeutycznej zapewnia choremu psychicznie więźniowi\n1 dodatkowy dzień okresu „spokoju”,\nnim ponownie zaczną objawiać się kwestie napięcia i określonych potrzeb.
buildtoolbar_popup_obj_Footbridge	Pozwala więźniom i personelowi na przechodzenie nad obszarami ziemi i wody. Obiektu nie można budować nad ścianami, ogrodzeniami i innymi budynkami.
buildtoolbar_popup_obj_FootbridgeSteel	Pozwala więźniom i personelowi na przechodzenie nad obszarami ziemi i wody. Obiektu nie można budować nad ścianami, ogrodzeniami i innymi budynkami.
buildtoolbar_popup_obj_FootbridgeB	Pozwala więźniom i personelowi na przechodzenie nad obszarami ziemi i wody. Obiektu nie można budować nad ścianami, ogrodzeniami i innymi budynkami.
buildtoolbar_popup_obj_FootbridgeSteelB	Pozwala więźniom i personelowi na przechodzenie nad obszarami ziemi i wody. Obiektu nie można budować nad ścianami, ogrodzeniami i innymi budynkami.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Pozwala więźniom słuchać ulubionych boysbandów, gdy w ciągu dnia zajmują się swoimi sprawami. Powoduje, że wszyscy więźniowie w danym pomieszczeniu stają się nieco szczęśliwsi.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Wyściełana izolatka

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Przeznaczona dla psychicznie chorych więźniów, wyposażona w miękkie, kojące ściany.
buildtoolbar_popup_room_paddedholdingcell	Miejsce, w którym umieszczani są nowo przyjęci psychicznie chorzy przestępcy przed przygotowaniem dla nich stałej, wyściełanej celi.
buildtoolbar_popup_room_paddedsolitary	Odizolowana cela dla najbardziej problematycznych psychicznie chorych więźniów.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Wyściełana (mała)
quickbuild_paddedintermediatecell	Wyściełana (średnia)
quickbuild_paddedholdingcell	Wyściełane pomieszczenie tymczasowe
quickbuild_paddedsolitarycell	Wyściełana izolatka
quickbuild_PsychiatristOffice	Gabinet psychiatryczny



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Paranoidalny rygor bezpieczeństwa
interfacetopbar_PrisonerCells_insaneSecOnly	Maks. liczba chorych psychicznie: *X

roomgrading_PsychiatristOffice_info	Odblokuj i umieść dodatkowe przedmioty w gabinecie psychiatrycznym, aby poprawić skuteczność terapii psychicznie chorych więźniów.\n
Items	są odblokowywane poprzez chorych psychicznie przestępców biorących udział w konsultacjach psychiatrycznych.
roomgrading_PsychiatristOffice_Item	Przedmiot: *X
roomgrading_PsychiatristOffice_Quality	Klasa psychiatry: *Q
roomgrading_PsychiatristOffice_Upgrade	Ulepsz gabinet psychiatryczny, aby zwiększyć jego potencjał.

roomgrading_score_average	PRZECIĘTNY
roomgrading_score_good	DOBRY
roomgrading_score_verygood	BARDZO DOBRY
roomgrading_score_outstanding	WYBITNY

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Skrzydło dla psychicznie chorych
objective_grant_firstinsanecellblock_description	Rząd jest skłonny przyznać pewne środki finansowe na rozbudowę naszego więzienia, aby umożliwić nam przyjmowanie i zapewnienie odpowiednich warunków chorym psychicznie więźniom.\n\nDofinansowanie to ułatwi budowę specjalnych cel z miękkimi ścianami i zatrudnianie wyszkolonych psychiatrów.
objective_grant_firstinsanecellblock_cells	Zbuduj skrzydło/blok dla obłąkanych z 10 wyściełanymi celami
objective_grant_firstinsanecellblock_prisoners	Przyjmij 10 obłąkanych skazanych
objective_grant_firstinsanecellblock_psychiatrist	Zatrudnij 2 psychiatrów (każdy potrzebuje gabinetu)

objective_readinsaneletter	Wytyczne prezesa odnośnie obłąkanych osadzonych
objective_readinsaneletter_description	Przed umieszczeniem w zakładzie psychicznie chorych przestępców należy zadbać o odpowiednie zaplecze i personel, aby wyjść naprzeciw ich potrzebom. – Prezes

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	Jako były łowca nagród, Hartman organizuje swoim pracownikom ochrony przydatne szkolenia.\n\n - Strażnicy rzadziej upuszczają klucze\n - W momencie transportu nowych więźniów wytrzymałość strażników ulega odnowieniu
warden_wardeninsanehawk_desc_short	- Wytrzymałość strażników ulega odnowieniu w momencie transportu nowych więźniów.

warden_wardeninsaneslugworth_name	Dr Slugworth
warden_wardeninsaneslugworth_desc	Kiedy wszystkie inne więzienia są na nie, Slugworth otwiera drzwi przed najbardziej problematycznymi psychicznie chorymi przestępcami, wierząc, że można im pomóc.\n\n - Leczenie psychiatryczne jest o 20% bardziej skuteczne.\n - Szanse na przyjęcie obłąkanych więźniów są większe!
warden_wardeninsaneslugworth_desc_short	- Przyjmuje więcej chorych psychicznie przestępców. Psychiatrzy zapewniają skuteczniejsze leczenie.

warden_wardeninsanehudson_name	Dr Hudson
warden_wardeninsanehudson_desc	Dr Hudson zrobi to, czemu nie podoła żaden inny naczelnik...\n\n - Służby ratownicze pracują o 20% szybciej i docierają wcześniej.\n - Koszty napraw zostają obniżone o 10%
warden_wardeninsanehudson_desc_short	- Krótszy czas reakcji i redukcja kosztów napraw.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Zgony obłąkanych więźniów
victory_warning_insaneprisonersdeaths	Jeśli umrze zbyt wielu obłąkanych więźniów, zostaniesz zwolniony.
victory_insaneprisonersdeaths_units	Zgony

victory_insaneprisonersabused	Obłąkani więźniowie zostali zaatakowani
victory_warning_insaneprisonersabused	Jeśli zbyt wielu obłąkanych więźniów zostanie zaatakowanych przez strażników, zostaniesz zwolniony.
victory_insaneprisonersabused_units	Ataki

victory_adviserwarning_insaneprisonersdeaths1	Nie możemy dalej przymykać oczu na to, że psychicznie chorzy przestępcy są prześladowani na terenie naszego więzienia! Media zmieszają nas z błotem, jeśli temu nie zaradzimy!
victory_advisernotice_insaneprisonersdeaths1	Dość tego! To twój koniec! Trzeba było troszczyć się o chorych, zamiast pozwalać im cierpieć niewypowiedziane okrucieństwa. Ja mogę cię tylko zwolnić, ale sugeruję spacer do domu i głębszą refleksję nad decyzjami życiowymi.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Chorzy psychicznie przestępcy

codex_tooltip_criminallyinsane	Opiekuj się więźniami, którzy czują stale napięcie i potrzebują cel z miękkimi ścianami. Zapewnij im pomoc psychiatry, aby rozwiązywać ich problemy w zakresie prywatności, poczucia komfortu, bezpieczeństwa i wolności, zanim dostaną napadu. Włączenie tego ustawienia sprawi również, że niektórzy zwykli więźniowie będą mogli zapaść na chorobę psychiczną, jeśli ich potrzeby nie zostaną zaspokojone. Zachowanie to można wyłączyć w ustawieniach mapy.

codex_prisoner_biography_NITG	Niestandardowa biografia
codex_options_InsaneGauge	Wskaźniki stabilności więźniów

codex_option_desert	Działka pustynna
codex_tooltip_desert	Wygeneruj początkową działkę, która przypomina piaszczystą pustynię.

codex_options_rendercolours	Koloryzowanie pomieszczeń

codex_new_selectdog	Wybierz psy stróżujące

codex_option_prisonerTurning	Więźniowie mogą popaść w szaleństwo

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Chorzy psychicznie przestępcy
rapsheet_insane_bio_desc	Psychicznie chorzy przestępcy nieustannie czują napięcie i potrzebują wyściełanych cel i pomocy psychiatrycznej, aby zachować spokój.\n\nObłąkani więźniowie podczas ataku mogą zaatakować naszych pracowników, spowodować uszkodzenie mienia lub podjąć próbę ucieczki, jak również przejawiać inne nieprzewidywalne zachowania.

reputation_Weak	Słabość
reputation_Insomniac	Bezsenność
reputation_Depressed	Depresja
reputation_Outbreaks	Wybuchowość
reputation_Sickness	Nudności
reputation_Hyperactive	Nadpobudliwość
reputation_Addict	Nałogi
reputation_Claustrophobic	Klaustrofobia
reputation_ExtremelyStoical	Niezwykłe opanowanie
reputation_ExtremelyVolatile	Niezwykła wybuchowość
reputation_Psychopathic	Psychopata
reputation_Insane	Obłąkanie

reputationtooltip_Weak	Ten więzień jest słabszy, nie radzi sobie dobrze w walce i dlatego jest bardziej podatny na urazy.
reputationtooltip_Insomniac	Ten więzień nie potrzebuje wiele snu.
reputationtooltip_Depressed	Ten więzień porusza się znacznie wolniej, gdy czuje napięcie i nie jest leczony.
reputationtooltip_Outbreaks	Ten więzień jest skłonny do wybuchów złości i demoluje otoczenie, gdy czuje napięcie i nie jest leczony.
reputationtooltip_Sickness	Więzień ten ma skłonność do wymiotów i brudzenia się, gdy czuje napięcie i nie jest leczony.
reputationtooltip_Hyperactive	Porusza się o wiele szybciej, gdy czuje napięcie i nie jest leczony.
reputationtooltip_Addict	Ten więzień jest bardziej narażony na popadnięcie w nałóg narkotykowy, gdy czuje napięcie i nie jest leczony.
reputationtooltip_Claustrophobic	Ten więzień pragnie uciec z miejsca osadzenia, gdy czuje napięcie i nie jest leczony.
reputationtooltip_ExtremelyStoical	Ten więzień nie podporządkuje się po zamknięciu w izolatce lub w obecności strażników. Zwyczajnie nic go nie obchodzi.
reputationtooltip_ExtremelyVolatile	Miej na niego oko. Wszystko może doprowadzić do jego wybuchu i sprawić, że sprawy przybiorą naprawdę zły obrót.
reputationtooltip_Psychopathic	Ten więzień jest o wiele bardziej niebezpieczny i nieprzewidywalny niż inni obłąkani kryminaliści.
reputationtooltip_Insane	Zadbaj o to, aby więźniowie mieli dostęp do porad psychiatrycznych i wyściełanych cel, co pozwoli im się wyciszyć.

# =============================================================================
# Reports
# =============================================================================
