# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog									Full Changelog
roomgrading_PsychiatristOffice_info				Unlock and place additional objects in the Psychiatrist Office to improve treatment to criminally insane inmates.\n
												Items are unlocked via criminally insane inmates attending Psychiatric Consultation Programs.
roomgrading_PsychiatristOffice_Item				Item : *X
roomgrading_PsychiatristOffice_Quality			Psychiatrist Ability: *Q
roomgrading_PsychiatristOffice_Upgrade			Upgrade the Psychiatrist's Office to improve their ability.

roomgrading_score_average		AVERAGE
roomgrading_score_good			GOOD
roomgrading_score_verygood		VERY GOOD
roomgrading_score_outstanding	OUTSTANDING

roomgrading_has_pa_system		[*X] Has PA system in cell block

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock				Criminally Insane Wing
objective_grant_firstinsanecellblock_description	The government are willing to provide funding to expand our prison with the means to house and protect the wellbeing of criminally insane inmates.\n\nThis grant will help facilitate the construction of special padded cells and the hiring of trained psychiatrists.
objective_grant_firstinsanecellblock_cells			Build a wing / cell block for the Criminally Insane with 10 Padded Cells
objective_grant_firstinsanecellblock_prisoners		Intake 10 Criminally Insane prisoners
objective_grant_firstinsanecellblock_psychiatrist	Hire 2 Psychiatrists (each requires an office)

objective_readinsaneletter						CEO's Guidelines on Criminally Insane Inmates
objective_readinsaneletter_description			Before incorporating criminally insane inmates into your prison, you should be prepared with the appropriate facilities and staff in order to take proper care of their needs - The Ceo...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name                     Hawk Hartman
warden_wardeninsanehawk_desc                     As a former bailsman, Hartman passes down valuable training techniques to his security staff.\n\n -All guards drop staff keys less often\n -Guard's stamina replenishes on intake
warden_wardeninsanehawk_desc_short               - Guard's stamina replenishes on intake.

warden_wardeninsaneslugworth_name                Dr Slugworth
warden_wardeninsaneslugworth_desc                When all other prisons deny them, Slugworth opens the doors to the worst Criminally Insane inmates out there, believing he can help.\n\n - Psychiatrist treatments are 20% more positive\n - The chances of receiving the Psychopathic Criminally Insane inmates is higher!
warden_wardeninsaneslugworth_desc_short          - Accepts more Psychopathic Criminally Insane inmates. Psychiatrists provide better treatment.

warden_wardeninsanehudson_name					 Dr Hudson
warden_wardeninsanehudson_desc                   Dr Hudson is prepared to do what no other warden can...\n\n - Emergency services work 20% faster and arrive earlier\n - Costs for repairs are reduced by 10%
warden_wardeninsanehudson_desc_short             - Quicker response times, and costs for repairs are reduced.

warden_wardenfarmer_name		The Botanist
warden_wardenfarmer_desc		As someone who has vast amounts of experience within the Farming Industry, The Botanist can have a very positive effect on prison farming. Increases the export price of each crop, the chance for crops to drop seeds, and also extends the wilting and spoiling time for growing crops and harvested ingredients.
warden_wardenfarmer_desc_short		- Doubles the export price of all prison-grown produce

warden_wardengreenpower_name			The Ecologist
warden_wardengreenpower_desc			As someone who has vast amounts of experience working with Green Energy, The Ecologist can have a very positive effect on these power sources. Increases the power output of all green energy sources, and also doubles the value of both exported energy and recycling.
warden_wardengreenpower_desc_short		- Increases the power output of all green energy sources by 1/3

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths					 Insane Inmate Deaths
victory_warning_insaneprisonersdeaths			 You will be fired if too many insane inmates die.
victory_insaneprisonersdeaths_units				 Deaths

victory_insaneprisonersabused					 Insane Inmates Attacked
victory_warning_insaneprisonersabused			 You will be fired if too many insane inmates are attacked by guards.
victory_insaneprisonersabused_units				 Attacks

victory_adviserwarning_insaneprisonersdeaths1	 We can't continue to let our criminally insane inmates suffer abuse within our prison! The media will drag our name through the mud if we don't get our act together!
victory_advisernotice_insaneprisonersdeaths1	 That's it! You're done! You were supposed to be caring for the mentally ill and instead you've allowed them to suffer unspeakable cruelties. I can only fire you, but I suggest you go home and re-evaluate your life choices.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane					Criminally Insane Inmates

codex_tooltip_criminallyinsane					Deal with inmates who are constantly feeling suppressed, require new padded cells and psychiatric help to reduce their Privacy, Comfort, Safety and Freedom Needs, before they ignite. Turning this setting on will also allow some regular inmates to be driven insane in your prison, if their Needs are not catered for. Inmates turning criminally insane can be turned off in Map Settings.

codex_prisoner_biography_NITG					Custom player-created biography
codex_options_InsaneGauge						Overhead Inmate Gauges

codex_option_desert								Desert Plot
codex_tooltip_desert							Generate a starting plot of land that resembles a sandy desert.

codex_options_rendercolours						Coloured Room Overlays

codex_new_selectdog								Choose Guard Dogs

codex_option_prisonerTurning					Inmates Can Turn Criminally Insane

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane						Criminally Insane
rapsheet_insane_bio_desc                        Criminally Insane inmates feel a constant level of suppression and require padded cells and psychiatric help to keep them calm.\n\nCriminally Insane inmates that ignite may attack our staff, cause damage to the prison, or attempt to break free, as well as other unpredictable behaviours.

reputation_Weak                                 Weak
reputation_Insomniac                            Insomniac
reputation_Depressed                            Depressed
reputation_Outbreaks                            Outbreaks
reputation_Sickness                             Sickness
reputation_Hyperactive                          Hyperactive
reputation_Addict                               Addict
reputation_Claustrophobic                       Claustrophobic
reputation_ExtremelyStoical                     Extremely Stoical
reputation_ExtremelyVolatile                    Extremely Volatile
reputation_Psychopathic                         Psychopathic
reputation_Insane                               Criminally Insane

reputationtooltip_Weak                          This prisoner is weaker, will not fare well in a fight and is therefore more susceptible to injuries.
reputationtooltip_Insomniac                     This prisoner requires very little sleep.
reputationtooltip_Depressed                     This prisoner moves much slower when feeling suppressed and untreated.
reputationtooltip_Outbreaks                     This prisoner is prone to violent outbreaks and damaging the environment around them when feeling suppressed and untreated.
reputationtooltip_Sickness                      This prisoner is prone to throwing up or soiling themself when feeling suppressed and untreated.
reputationtooltip_Hyperactive                   Moves around much faster when feeling suppressed and untreated.
