# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	変更履歴
buildtoobar_PsychConItemImproveInfo	- 精神科医のオフィスがグレードアップされる。
buildtoobar_PsychConItemImproveSuppression	- カウンセリング後、触法精神障害者の収容者の抑圧と特定のニーズを+5％削減
buildtoobar_PsychConItemImproveGrace	- カウンセリング後、触法精神障害者に対してさらに抑圧および特定のニーズが再び高まり始める前に、\n1日間の「猶予期間」が提供されるようになる。
buildtoolbar_popup_obj_Footbridge	囚人と職員がその場所(水面含む)を横断できるようにする。壁、フェンス、その他の建物の上に建てることはできない。
buildtoolbar_popup_obj_FootbridgeSteel	囚人と職員がその場所(水面含む)を横断できるようにする。壁、フェンス、その他の建物の上に建てることはできない。
buildtoolbar_popup_obj_FootbridgeB	囚人と職員がその場所(水面含む)を横断できるようにする。壁、フェンス、その他の建物の上に建てることはできない。
buildtoolbar_popup_obj_FootbridgeSteelB	囚人と職員がその場所(水面含む)を横断できるようにする。壁、フェンス、その他の建物の上に建てることはできない。
buildtoolbar_popup_obj_BoomBoxRoundHouse	受刑者たちに、好きなボーイバンドを1日中聴かせる。同じ部屋にいるすべての受刑者が少しだけ幸せになる。

# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	パッド入り孤立独房

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	心を落ち着かせる効果のあるパッド入りの壁を備えた独房で、収容者の中でも触法精神障害者を対象としている。
buildtoolbar_popup_room_paddedholdingcell	常設のパッド入り独房の準備が整う前に、新入りの触法精神障害者が留置される場所。
buildtoolbar_popup_room_paddedsolitary	触法精神障害者の受刑者の中でも特に始末の悪い者たちを隔離して収容する場所。

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	パッド入り（小）
quickbuild_paddedintermediatecell	パッド入り（中）
quickbuild_paddedholdingcell	パッド入り保護独房
quickbuild_paddedsolitarycell	パッド入り孤立独房
quickbuild_PsychiatristOffice	精神科医のオフィス



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	精神障害区画のみ
interfacetopbar_PrisonerCells_insaneSecOnly	触法精神障害者収容数: *X

roomgrading_PsychiatristOffice_info	精神科医室にアンロックした追加のオブジェクトを配置すると、触法精神障害者の受刑者に対する治療を改善することができる。\n
Items	は、精神科の診察プログラムに通う精神異常犯罪者の囚人によりアンロックされている。
roomgrading_PsychiatristOffice_Item	アイテム: *X
roomgrading_PsychiatristOffice_Quality	精神科医のアビリティ: *Q
roomgrading_PsychiatristOffice_Upgrade	精神科医のオフィスをアップグレードして、アビリティを強化することができる。

roomgrading_score_average	平均
roomgrading_score_good	良好
roomgrading_score_verygood	非常に良好
roomgrading_score_outstanding	卓越した

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	触法精神障害者棟
objective_grant_firstinsanecellblock_description	政府は、刑務所にいる触法精神障害者たちを適切に収容し、その福利を確保する手段を講じ、刑務所を拡大するための資金を提供する用意があります。\n\nこの助成金は、特別な詰め物入り独房の建設や、訓練を受けた精神科医の雇用を促進するのに役立ちます。
objective_grant_firstinsanecellblock_cells	10個のパッド入り独房を備えた触法精神障害者棟/独房ブロックを構築する
objective_grant_firstinsanecellblock_prisoners	10人の触法精神障害者を収容する
objective_grant_firstinsanecellblock_psychiatrist	精神科医を2人雇い入れる（それぞれにオフィスが必要）

objective_readinsaneletter	触法精神障碍者の収容に関するCEOのガイドライン
objective_readinsaneletter_description	触法精神障害者を刑務所に収容する前に、適切な施設とスタッフを準備して、彼らのニーズを適切にケアする必要があります ― CEO…

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	ホーク・ハートマン氏
warden_wardeninsanehawk_desc	元保釈保証人（実態は脱走者ハンター）として、ハートマンは貴重なトレーニングテクニックをセキュリティスタッフに伝えることができる。\n\n- すべての看守がスタッフキーを落とす頻度が少なくなる\n- 看守のスタミナが収容時に補充される
warden_wardeninsanehawk_desc_short	- 看守のスタミナは収容時に回復する。

warden_wardeninsaneslugworth_name	スラッグワース先生
warden_wardeninsaneslugworth_desc	他のすべての刑務所から拒絶された触法精神障害者であっても、スラグワースは彼らに対して扉を開き、自分なら助けることができると信じている。\n\n- 精神科医の治療は20％ポジティブになる\n- 触法精神障害者が贈られてくる確率がアップ！
warden_wardeninsaneslugworth_desc_short	- より多くのサイコパシーな触法精神障害者を受け入れることができる。精神科医はより良い治療を提供することができる。

warden_wardeninsanehudson_name	ハドソン先生
warden_wardeninsanehudson_desc	ハドソン博士は、他の刑務所長にはできないことを行う備えがある…\n\n- 緊急サービスは20％速く動作し、より迅速に到着する\n -修理費用は10％削減される
warden_wardeninsanehudson_desc_short	- 対応時間が短縮され、修理費用が削減される。

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	触法精神障害者の死
victory_warning_insaneprisonersdeaths	あまりに多くの触法精神障害者が死亡するとあなたは解雇されます。
victory_insaneprisonersdeaths_units	死

victory_insaneprisonersabused	触法精神障害者への加害
victory_warning_insaneprisonersabused	あまりに多くの触法精神障害者が看守によって攻撃されると、あなたは解雇されます。
victory_insaneprisonersabused_units	加害

victory_adviserwarning_insaneprisonersdeaths1	私たちは刑務所内で触法精神障害者たちが虐待を受け続けるのを看過することはできません！私たちが一緒に行動を起こさないと、マスコミが私たちの名前を泥の中に引きずり込むでしょう！
victory_advisernotice_insaneprisonersdeaths1	そうなったらおしまいです！あなたもおしまいです！あなたは精神病に悩む収容者たちの世話をするはずだったのに、代わりに彼らが言語に絶する虐待に苦しむことを見過ごしていました。私にはあなたを解雇することしかできませんが、せめてあなたには、家に帰ったら自分の人生の選択を再評価することをお勧めします。
