# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	Kompletter Changelog
buildtoolbar_popup_obj_husky	Tödlicher Fluchtverhinderer, der sich im Schnee besonders wohl fühlt.
buildtoolbar_popup_obj_companion	Der beste Freund des Wächters.
buildtoolbar_popup_obj_cat	Nicht jeder ist für Hunde gemacht.
buildtoolbar_popup_obj_direwoof	Wer wird da nur daran denken, zu fliehen?

buildtoolbar_popup_filter_mostused	Meistgebraucht
buildtoolbar_caters_safety	Erfüllt Sicherheitsbedürfnis.

interfacedeployment_orderly	Krankenpfleger zuweisen
buildtoolbar_deployment_orderly	Weisen Sie Ihren Gefängnistrakten Krankenpfleger zu.

interfacedeployment_orderlypatrols	Krankenpfleger zuweisen
buildtoolbar_deployment_orderlypatrols	Weisen Sie Ihren Patrouillenrouten einen Krankenpfleger zu.

room_PaddedCell	Gummizelle
room_PaddedHoldingCell	Gepolsterte Verwahrungszelle
room_PsychiatristOffice	Büro des Psychiaters

interfaceplanning_BuildPlan	Pläne umsetzen
interfaceplanning_ClearPlan	Pläne löschen
interfaceplanning_Door	Türen

buildtoolbar_improvement	- Verbessert die Bewertung für *R
buildtoolbar_improvement_windows	(wenn nach Außen ausgerichtet)

buildplan_title	Auswahl des Wandtyps
buildplan_message	Sind Sie bereit, Euren Entwurf zu bauen?\n	Dieser Vorgang kann nicht rückgängig gemacht werden.\n\n	Alle geplanten Wände werden mit demselben Wandtyp gebaut.\n	Die Auswahl des Wandtyps kann unten geändert werden.
clearplan_title	Pläne löschen
clearplan_message	Sind Sie sicher, dass sie alle gezeichneten Entwürfe löschen möchten?\n \n	Dieser Vorgang kann nicht rückgängig gemacht werden.

d11_custom_planning	Individuelle Planung

buildtoolbar_popup_planning	Planen Sie Ihr Gefängnis, ohne befürchten zu müssen, dass die Arbeiter tatsächlich etwas bauen, bevor Sie fertig sind. Mit dem Planungsmenü können Sie alle geplanten Gebäude und Türen bauen, Bereiche des Plans löschen oder den gesamten Entwurf löschen und neu beginnen.

buildtoolbar_popup_help_planningDoor_1	Der ausgewählte Türtyp wird jedes Mal verwendet, wenn Sie eine Tür in den Plan einsetzen.
buildtoolbar_popup_help_quickBuildWall_1	Der ausgewählte Wandtyp wird beim Errichten Ihrer nächsten Schnellbauten verwendet


buildtoolbar_popup_mat_blueclassywall	Errichten Sie edle Wände auf den Fundamenten, um neue Personalbereiche und Räume zu erschaffen.
buildtoolbar_popup_mat_burgundyclassywall	Errichten Sie edle Wände auf den Fundamenten, um neue Personalbereiche und Räume zu erschaffen.
buildtoolbar_popup_mat_greenclassywall	Errichten Sie edle Wände auf den Fundamenten, um neue Personalbereiche und Räume zu erschaffen.

buildtoolbar_popup_obj_windowclassy	Lässt die Außenseite besser aussehen, als sie eigentlich ist.
buildtoolbar_popup_obj_windowclassyLarge	Lässt die Außenseite besser aussehen, als sie eigentlich ist.
buildtoolbar_popup_obj_gravestone	Ein Grabstein wird für jeden toten Insassen aus Ihrem Gefängnis geliefert.

buildtoolbar_popup_staff_psychiatrist	Mitglied des medizinischen Personals, das regelmäßig psychisch kranke Häftlinge behandelt.\nSobald ein psychiatrisches Beratungsprogramm im Gefängnis etabliert ist, bieten Psychiater Einzelgespräche an, um psychisch kranke Häftlinge zu beruhigen.  \nWenn wir viele psychisch kranke Häftlinge haben, sollten wir einige Psychiater einstellen und jeden von ihnen mit einem Büro ausstatten.

buildtoolbar_popup_staff_orderly	Medizinisches Personal, das für die Arbeit mit psychisch kranken Insassen geschult ist.
buildtoolbar_popup_obj_leatherchair	Passt zum Ledersofa. Perfekt für Personalräume, für Insassen eher zu fein.

buildtoolbar_popup_obj_rorschachTest	Wird das Büro des Psychiaters um einen Rorschachtest ergänzt, erhöht das die Erfolgschancen bei der Behandlung psychisch kranker Insassen.
buildtoolbar_popup_obj_anatomyModel	Wird das Büro des Psychiaters um ein Anatomiemodell ergänzt, erhöht das die Erfolgschancen bei der Behandlung psychisch kranker Insassen.
buildtoolbar_popup_obj_flipboard	Wird das Büro des Psychiaters um einen Flipchart mit der Darstellung des Gehirns ergänzt, erhöht das die Erfolgschancen bei der Behandlung psychisch kranker Insassen.
buildtoolbar_popup_obj_medicineCabinetPsych	Wird das Büro des Psychiaters um einen Arzneischrank ergänzt, erhöht das die Erfolgschancen bei der Behandlung psychisch kranker Insassen.
buildtoolbar_popup_obj_leatherchair	Passt zum Ledersofa. Perfekt für Personalräume, für Insassen eher zu fein.
buildtoolbar_popup_obj_leatherSofa	Wird das Büro des Psychiaters um ein klassisches Ledersofa ergänzt, erhöht das die Erfolgschancen bei der Behandlung psychisch kranker Insassen.

buildtoolbar_deployment_insaneseczone	Nur psychisch kranke Häftlinge werden diesen Trakt betreten können.

failuremessage_maximumcountreachedgeneric	Maximale Anzahl platziert

buildtoolbar_popup_locked_PsychiatricConsultation	Freigeschaltet nach *B weiteren psychiatrischen Sitzungen
buildtoobar_PsychConItemImproveInfo	- Verbessert die Bewertung des Psychiater-Büros.
buildtoobar_PsychConItemImproveSuppression	- Nach der Konsultation des psychisch kranken Insassen\nreduziert sich dessen Unterdrückung und bestimmte Bedürfnisse um +5%
buildtoobar_PsychConItemImproveGrace	- Gewährt dem psychisch kranken Insassen nach der Konsultation\neine "Gnadenfrist" von 1 Tag,\nwonach Untedrückung und Bedürfnisse wieder ansteigen.
buildtoolbar_popup_obj_Footbridge	Ermöglicht Gefangenen und Personal die Überbrückung von Land- und Wasserflächen. Kann über Wände, Zäune und Gebäude errichtet werden.
buildtoolbar_popup_obj_FootbridgeSteel	Ermöglicht Gefangenen und Personal die Überbrückung von Land- und Wasserflächen. Kann über Wände, Zäune und Gebäude errichtet werden.
buildtoolbar_popup_obj_FootbridgeB	Ermöglicht Gefangenen und Personal die Überbrückung von Land- und Wasserflächen. Kann über Wände, Zäune und Gebäude errichtet werden.
buildtoolbar_popup_obj_FootbridgeSteelB	Ermöglicht Gefangenen und Personal die Überbrückung von Land- und Wasserflächen. Kann über Wänden, Zäunen und Gebäuden errichtet werden.
buildtoolbar_popup_obj_BoomBoxRoundHouse	Ermöglicht Ihren Häftlingen, während des Tages Musik ihrer Lieblings-Boybands zu hören. Macht alle Häftlinge im selben Raum ein wenig zufriedener.
# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	Gepolsterte Einzelzelle

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	Diese Zelle ist für psychisch kranke Häftlinge bestimmt und wirkt beruhigend.
buildtoolbar_popup_room_paddedholdingcell	Hier werden unsere psychisch kranke Häftlinge untergebracht, bevor eine permanente Gummizelle fertig ist.
buildtoolbar_popup_room_paddedsolitary	Einzelhaft für die schlimmsten psychisch kranken Insassen.

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	Gepolstert (Klein)
quickbuild_paddedintermediatecell	Gepolstert (Mittel)
quickbuild_paddedholdingcell	Gepolsterte Verwahrungszelle
quickbuild_paddedsolitarycell	Gepolsterte Einzelzelle
quickbuild_PsychiatristOffice	Büro des Psychiaters



# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	Psychosicherheitstrakt
interfacetopbar_PrisonerCells_insaneSecOnly	Kapazität für psychisch kranke Häftlinge: *X

roomgrading_PsychiatristOffice_info	Schalte zusätzliche Objekte im Büro des Psychiaters frei, um die Behandlung psychisch kranker Insassen zu verbessern.\n
Items	werden über psychisch kranke Häftlinge freigeschaltet, die an psychiatrischen Beratungsprogrammen teilnehmen.
roomgrading_PsychiatristOffice_Item	Objekt : *X
roomgrading_PsychiatristOffice_Quality	Kompetenz des Psychiaters: *Q
roomgrading_PsychiatristOffice_Upgrade	Werten Sie das Büro des Psychiaters auf, um seine Kompetenz zu erhöhen.

roomgrading_score_average	DURCHSCHNITTLICH
roomgrading_score_good	GUT
roomgrading_score_verygood	SEHR GUT
roomgrading_score_outstanding	HERVORRAGEND

# =============================================================================
# Objectives, Grants
# =============================================================================

objective_grant_firstinsanecellblock	Flügel für psychisch kranke Häftlinge
objective_grant_firstinsanecellblock_description	Die Regierung ist bereit, unsere Finanzierung zu erhöhen, um die Unterbringung und Betreuung psychisch kranker Insassen zu sichern.\n\nDieser Zuschuss wird uns den Bau spezieller Gummizellen und die Einstellung von Psychiatern ermöglichen.
objective_grant_firstinsanecellblock_cells	Bauen Sie einen Flügel / Zellenblock für psychisch kranke Häftlinge mit 10 Gummizellen
objective_grant_firstinsanecellblock_prisoners	Nehmen Sie 10 psychisch kranke Häftlinge auf
objective_grant_firstinsanecellblock_psychiatrist	Stellen Sie 2 Psychiater ein (jeder benötigt ein Büro)

objective_readinsaneletter	Richtlinien der Geschäftsführung für psychisch kranke Häftlinge
objective_readinsaneletter_description	Bevor Sie psychisch kranke Häftlinge in Ihrem Gefängnis aufnehmen, müssen Sie die entsprechende Infrastruktur bauen und geschultes Personal einstellen, um den Bedürfnissen dieser Gruppe gerecht zu werden – der Geschäftsführer...

# =============================================================================
# Wardens
# =============================================================================

warden_wardeninsanehawk_name	Hawk Hartman
warden_wardeninsanehawk_desc	Als ehemaliger Kautionseintreiber gibt Hartman wertvolle Techniken an sein Sicherheitsteam weiter.\n\n - Alle Wachen verlieren ihre Schlüssel seltener\n - Die Ausdauer der Wachen wird bei Einlieferung aufgefüllt
warden_wardeninsanehawk_desc_short	- Ausdauer der Wachen wird bei Einlieferung aufgefüllt.

warden_wardeninsaneslugworth_name	Dr. Slugworth
warden_wardeninsaneslugworth_desc	Wo alle anderen Gefängnisse sie abweisen, öffnet Dr. Slugworth den schlimmsten psychisch kranke Häftlinge die Türen in dem Glauben, ihnen helfen zu können.\n\n - Psychiatrische Behandlungen sind um 20% erfolgreicher\n - Die Wahrscheinlichkeit, Psychopathen zu erhalten, ist höher!
warden_wardeninsaneslugworth_desc_short	- Nimmt mehr Psychopathen auf. Psychiater bieten bessere Behandlung.

warden_wardeninsanehudson_name	Dr. Hudson
warden_wardeninsanehudson_desc	Dr. Hudson ist bereit zu tun, was kein anderer Direktor zu tun bereit ist...\n\n - Notdienste arbeiten 20% schneller und treffen schneller ein\n - Reparaturkosten reduzieren sich um 10%
warden_wardeninsanehudson_desc_short	- Schnellere Reaktionszeit und reduzierte Reparaturkosten.

# =============================================================================
# Victory, failures
# =============================================================================

victory_insaneprisonersdeaths	Todesfälle psychisch kranker Insassen
victory_warning_insaneprisonersdeaths	Wenn zu viele psychisch kranke Häftlinge sterben, werden Sie entlassen.
victory_insaneprisonersdeaths_units	Todesfälle

victory_insaneprisonersabused	Psychisch kranke Häftlinge angegriffen
victory_warning_insaneprisonersabused	Werden zu viele psychisch kranke Häftlinge von Wachen angegriffen, werden Sie entlassen.
victory_insaneprisonersabused_units	Angriffe

victory_adviserwarning_insaneprisonersdeaths1	Wir können nicht zulassen, dass psychisch kranke Häftlinge in unserem Gefängnis weiterhin misshandelt werden! Die Medien werden unseren Namen durch den Dreck ziehen, wenn wir uns nicht zusammenreißen!
victory_advisernotice_insaneprisonersdeaths1	Das war's! Sie sind erledigt! Sie sollten sich um unsere psychisch kranken Insassen kümmern und haben sie stattdessen unsäglichen Qualen ausgesetzt. Ich kann Sie nur feuern, aber ich hoffe sehr, dass Sie Ihre Einstellung noch einmal überdenken.

# =============================================================================
# Codex
# =============================================================================

codex_option_criminallyinsane	Psychisch kranke Häftlinge

codex_tooltip_criminallyinsane	Die Unterbringung psychisch kranker Insassen erfordert Gummizellen und psychiatrisches Fachpersonal, dass die Privatsphäre, den Komfort, die Sicherheit und die Freiheit der Betroffenen beschneiden kann, bevor sie ausflippen. Wird diese Option aktiviert, können auch normale Insassen verrückt werden, wenn sich niemand um ihre Bedürfnisse kümmert. Die Option, Insassen psychisch krank werden zu lassen, kann in den Karteneinstellungen deaktiviert werden.

codex_prisoner_biography_NITG	Benutzerdefinierte Biografie
codex_options_InsaneGauge	Anzahl der Insassen in Zwangslage

codex_option_desert	Wüstenbauland
codex_tooltip_desert	Erzeugen Sie ein Anfangsbaugrundstück, das einer Sandwüste ähnelt.

codex_options_rendercolours	Farbige Raumüberlagerungen

codex_new_selectdog	Wählen Sie Wachhunde

codex_option_prisonerTurning	Gefangene können psychisch krank werden

# =============================================================================
# Rapsheet
# =============================================================================

rapsheet_category_insane	Psychisch krank
rapsheet_insane_bio_desc	Psychisch kranke Häftlinge stehen ständig unter Druck, benötigen Gummizellen und psychiatrische Hilfe, um ruhig gehalten zu werden.\n\nPsychisch kranke Häftlinge, die ausflippen, können unser Personal angreifen, das Gefängnis beschädigen, Ausbruchsversuche unternehmen oder sich unberechenbar Verhalten.

reputation_Weak	Schwach
reputation_Insomniac	Schlaflos
reputation_Depressed	Depressiv
reputation_Outbreaks	Gewalttätig
reputation_Sickness	Kränklich
reputation_Hyperactive	Hyperaktiv
reputation_Addict	Süchtig
reputation_Claustrophobic	Klaustrophobisch
reputation_ExtremelyStoical	Extrem stoisch
reputation_ExtremelyVolatile	Extrem launisch
reputation_Psychopathic	Psychopathisch
reputation_Insane	Psychisch krank

reputationtooltip_Weak	Dieser Gefangene ist schwach, wird sich im Kampf nicht gut schlagen und anfälliger für Verletzungen sein.
reputationtooltip_Insomniac	Dieser Gefangene benötigt nur sehr wenig Schlaf.
reputationtooltip_Depressed	Dieser Gefangene bewegt sich viel langsamer, wenn er sich unterdrückt und unbehandelt fühlt.
reputationtooltip_Outbreaks	Dieser Gefangene neigt zu gewalttätigen Ausbrüchen und Zerstörungswut, wenn er sich unterdrückt und unbehandelt fühlt.
reputationtooltip_Sickness	Dieser Gefangene neigt dazu, sich zu übergeben oder zu beschmutzen, wenn er sich unterdrückt und unbehandelt fühlt.
reputationtooltip_Hyperactive	Dieser Gefangene bewegt sich viel schneller, wenn er sich unterdrückt und unbehandelt fühlt.
reputationtooltip_Addict	Dieser Gefangene greift zu Drogen, wenn er sich unterdrückt und unbehandelt fühlt.
reputationtooltip_Claustrophobic	Das Verlangen dieses Gefangenen, seiner Umgebung zu entfliehen, ist viel stärker, wenn er sich unterdrückt und unbehandelt fühlt.
reputationtooltip_ExtremelyStoical	Dieser Häftling fühlt sich in Einzelhaft oder in der Anwesenheit von Wachen nicht unterdrückt. Ehrlich gesagt ist es ihm egal.
reputationtooltip_ExtremelyVolatile	Diesen hier müssen Sie im Auge behalten. Alles kann ihn ausflippen lassen und dann wird's ganz schnell ganz ungemütlich.
reputationtooltip_Psychopathic	Dieser Häftling ist gefährlicher und unberechenbarer, als alle anderen psychisch kranken Insassen.
reputationtooltip_Insane	Stellen Sie sicher, dass der Gefangene Zugang zur psychiatrischen Beratung und einer Gummizelle hat, damit er sich beruhigen kann.

# =============================================================================
# Reports
# =============================================================================
